Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
0.003300000000000, 0, 1, 0, 1, 0, 1
0.003300010000000, 0, 1, 0, 1, 0, 1
0.003300020000000, 0, 1, 0, 1, 0, 1
0.003300030000000, 0, 1, 0, 1, 0, 1
0.003300040000000, 0, 1, 0, 1, 0, 1
0.003300050000000, 0, 1, 0, 1, 0, 1
0.003300060000000, 0, 1, 0, 1, 0, 1
0.003300070000000, 0, 1, 0, 1, 0, 1
0.003300080000000, 0, 1, 0, 1, 0, 1
0.003300090000000, 0, 1, 0, 1, 0, 1
0.003300100000000, 0, 1, 0, 1, 0, 1
0.003300110000000, 0, 1, 0, 1, 0, 1
0.003300120000000, 0, 1, 0, 1, 0, 1
0.003300130000000, 0, 1, 0, 1, 0, 1
0.003300140000000, 0, 1, 0, 1, 0, 1
0.003300150000000, 0, 1, 0, 1, 0, 1
0.003300160000000, 0, 1, 0, 1, 0, 1
0.003300170000000, 0, 1, 0, 1, 0, 1
0.003300180000000, 0, 1, 0, 1, 0, 1
0.003300190000000, 0, 1, 0, 1, 0, 1
0.003300200000000, 0, 1, 0, 1, 0, 1
0.003300210000000, 0, 1, 0, 1, 0, 1
0.003300220000000, 0, 1, 0, 1, 0, 1
0.003300230000000, 0, 1, 0, 1, 0, 1
0.003300240000000, 0, 1, 0, 1, 0, 1
0.003300250000000, 0, 1, 0, 1, 0, 1
0.003300260000000, 0, 1, 0, 1, 0, 1
0.003300270000000, 0, 1, 0, 1, 0, 1
0.003300280000000, 0, 1, 0, 1, 0, 1
0.003300290000000, 0, 1, 0, 1, 0, 1
0.003300300000000, 0, 1, 0, 1, 0, 1
0.003300310000000, 0, 1, 0, 1, 0, 1
0.003300320000000, 0, 1, 0, 1, 0, 1
0.003300330000000, 0, 1, 0, 1, 0, 1
0.003300340000000, 0, 1, 0, 1, 0, 1
0.003300350000000, 0, 1, 0, 1, 0, 1
0.003300360000000, 0, 1, 0, 1, 0, 1
0.003300370000000, 0, 1, 0, 1, 0, 1
0.003300380000000, 0, 1, 0, 1, 0, 1
0.003300390000000, 0, 1, 0, 1, 0, 1
0.003300400000000, 0, 1, 0, 1, 0, 1
0.003300410000000, 0, 1, 0, 1, 0, 1
0.003300420000000, 0, 1, 0, 1, 0, 1
0.003300430000000, 0, 1, 0, 1, 0, 1
0.003300440000000, 0, 1, 0, 1, 0, 1
0.003300450000000, 0, 1, 0, 1, 0, 1
0.003300460000000, 0, 1, 0, 1, 0, 1
0.003300470000000, 0, 1, 0, 1, 0, 1
0.003300480000000, 0, 1, 0, 1, 0, 1
0.003300490000000, 0, 1, 0, 1, 0, 1
0.003300500000000, 0, 1, 0, 1, 0, 1
0.003300510000000, 0, 1, 0, 1, 0, 1
0.003300520000000, 0, 1, 0, 1, 0, 1
0.003300530000000, 0, 1, 0, 1, 0, 1
0.003300540000000, 0, 1, 0, 1, 0, 1
0.003300550000000, 0, 1, 0, 1, 0, 1
0.003300560000000, 0, 1, 0, 1, 0, 1
0.003300570000000, 0, 1, 0, 1, 0, 1
